"","CD_REFNIS","TOTAL","Post code","Submunicipality code"
"1","11001",14752,"2630","11001A"
"2","11002",538910,"2060","11002-Z"
"3","11002",538910,"2170","11002Q"
"4","11002",538910,"2610","11002U"
"5","11002",538910,"2000","11002-Z"
"6","11002",538910,"2140","11002S"
"7","11002",538910,"2100","11002R"
"8","11002",538910,"2030","11002-Z"
"9","11002",538910,"2180","11002P"
"10","11002",538910,"2660","11002V"
"11","11002",538910,"2020","11002-Z"
"12","11002",538910,"2018","11002-Z"
"13","11002",538910,"2040","11002-Y"
"14","11002",538910,"2600","11002T"
"15","11002",538910,"2099","11002-Z"
"16","11002",538910,"2050","11002-Z"
"17","11004",13806,"2530","11004A"
"18","11004",13806,"2531","11004B"
"19","11005",19062,"2850","11005A"
"20","11007",11309,"2150","11007A"
"21","11008",38575,"2930","11008A"
"22","11009",30387,"2960","11009A"
"23","11013",22761,"2650","11013A"
"24","11016",19629,"2910","11016A"
"25","11018",12105,"2620","11018A"
"26","11021",8444,"2540","11021A"
"27","11022",19422,"2920","11022A"
"28","11023",27743,"2950","11023-Z"
"29","11024",21624,"2550","11024A"
"30","11025",8548,"2547","11025A"
"31","11029",26391,"2640","11029A"
"32","11030",10799,"2845","11030A"
"33","11035",19609,"2520","11035C"
"34","11037",15417,"2840","11037C"
"35","11038",8662,"2627","11038A"
"36","11039",20293,"2970","11039A"
"37","11040",34360,"2900","11040A"
"38","11044",18837,"2940","11044A"
"39","11050",10432,"2110","11050A"
"40","11052",13230,"2160","11052A"
"41","11053",21644,"2990","11053A"
"42","11054",13352,"2240","11054A"
"43","11054",13352,"2242","11054B"
"44","11054",13352,"2243","11054C"
"45","11055",22427,"2980","11055A"
"46","11056",19547,"2070","11056A"
"47","11057",16007,"2390","11057B"
"48","12002",11949,"2590","12002A-I"
"49","12005",15458,"2820","12005A"
"50","12007",21982,"2880","12007A"
"51","12009",17982,"2570","12009A"
"52","12014",44226,"2223","12014F"
"53","12014",44226,"2222","12014C"
"54","12014",44226,"2221","12014E"
"55","12014",44226,"2220","12014A"
"56","12021",37909,"2500","12021A"
"57","12025",88614,"2801","12025D"
"58","12025",88614,"2800","12025A"
"59","12025",88614,"2812","12025F"
"60","12025",88614,"2811","12025C"
"61","12026",23409,"2560","12026C"
